county,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,degree_centrality_avg,edge_density_km,edge_length_avg,edge_length_total,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion,intersection_count,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg
Chilton County,01021,1794.478905,2.8065136764024214,0.018219372386278354,1.084502659807149,0.0473188069850103,0.0009088807659562644,0.0011344555564620595,2640.431022509007,448.94805476596486,4738197,1231,0.2853500231803431,2806,0.6504404265183125,247,0.05725544738062123,3082,1.71749023708919,4.892906815020862,10554,4314,2.4040405200528117,0.0009371132485132723,3.5016792182845646e-05,0.00511654349061967,1349.0665620279347,453.7716001874419,2420871.4870000025,5335,2.4833101529902644
Choctaw County,01023,2365.869837,2.777417763157879,0.016188335020116046,1.1216452550035845,0.04800438596491222,0.002085797583084774,0.0015337888155730047,1745.9158493849077,583.0077129146067,4130609,1060,0.34868421052631576,1789,0.5884868421052631,160,0.05263157894736842,1980,0.8369014934949695,4.661184210526316,7085,3040,1.2849396667801551,0.0011756785380881102,4.9494332898883086e-05,0.007057163020465773,880.9196889896358,584.1203253923768,2084141.3210000005,3568,2.3490131578947366
Clarke County,01025,3207.494103,2.7345500633713793,0.02333075920354519,1.114006942913827,0.040868187579214434,0.0007657818433444218,0.0008846684698402724,1621.9902736949757,425.18177819548794,5202524,1802,0.3425855513307985,3077,0.584980988593156,311,0.059125475285171106,3458,1.078100189417558,4.652471482889734,12236,5260,1.6399094841921211,0.0008558486241459934,2.8570141564847053e-05,0.011441647597254004,825.3376938476649,422.6833444036412,2647265.7860000045,6263,2.3629277566539924
Clay County,01027,1564.253513,2.7621723564761416,0.01575457218239178,1.0907833104633782,0.05261475514640057,0.0024685315169319447,0.0018658073001992601,2301.4551286483106,568.0118759861134,3600059,740,0.2838511699271193,1719,0.6593785960874569,129,0.04948216340621404,1867,1.1935405511216517,4.862293824319141,6338,2607,1.666609650120057,0.0012257843475992638,5.787706910522052e-05,0.005995582202587567,1154.2091738936704,566.3349294228362,1805475.755000002,3188,2.476793248945148
Cleburne County,01029,1450.663938,2.7357167062012757,0.017965520130118758,1.1065035015182147,0.04506946797695681,0.0009946147966996006,0.0016024444457208374,2196.150106545207,456.7563816487441,3185875,927,0.31413080311758723,1884,0.6384276516435107,129,0.043713995255845475,2024,1.3952232126142508,4.727211114876313,6975,2951,2.0342409587078327,0.0011874798030491603,5.119010651543272e-05,0.00989247311827957,1122.3066282633406,458.8753531567079,1628089.7529999996,3548,2.4137580481192815
Coffee County,01031,1758.565927,2.868870417732314,0.021260011718197507,1.0626042777340472,0.06013640238704214,0.0019361744807018975,0.0013186174733499523,2417.5817919165183,421.89907363302507,4251476,853,0.21815856777493606,2551,0.6524296675191816,496,0.1268542199488491,3057,1.7383482490275726,5.154475703324808,10077,3910,2.2234025690866237,0.0009296201880116084,3.8438376875472474e-05,0.00645033244021038,1240.723799716837,416.2332314002293,2181894.599000002,5242,2.691048593350384
Colbert County,01033,1534.875463,2.911118935837249,0.023968095248566367,1.080828759675326,0.036030255607720524,0.0005424492229279464,0.0007998881097230347,2845.808177467749,267.51354385105327,4367961,1700,0.26604068857589985,3485,0.5453834115805947,1171,0.18325508607198748,4690,3.055622500364383,5.110485133020345,16328,6390,4.163204216914372,0.00054585464985363,2.3502297236602647e-05,0.014821166095051446,1503.9761639606093,269.58030024524163,2308416.111000004,8563,2.6519561815336465
Conecuh County,01035,2201.948618,2.7651490337372944,0.013881302474496685,1.0854435645699871,0.05207992138879793,0.0010601293393659914,0.001566900871840736,2098.9080268357116,633.1078943835619,4621687,900,0.2947920078611202,1964,0.6433016704880445,167,0.05470029479200786,2153,0.9777703177994865,4.7821814608581725,7300,3053,1.386499201227047,0.0009449069846758312,4.946140937470803e-05,0.005479452054794521,1074.1735118907282,636.8537641357015,2365274.879999995,3714,2.458892892237144
Coosa County,01037,1685.850816,2.7202778584567677,0.02099801191733235,1.1086061112442778,0.03655726595023704,0.0008682739285434115,0.0013091092707111294,2242.9569853469193,487.4682047183194,3781290,1263,0.36683125181527737,1981,0.5753703165843741,150,0.04356665698518734,2180,1.2931156062625178,4.505954109787975,7757,3443,2.042292216679747,0.0010272442372834135,4.364207678096043e-05,0.004640969446951141,1140.1245642603783,488.0853039614025,1922079.927000003,3938,2.30002904443799
Covington County,01039,2668.871125,2.883657359531224,0.019339395955556976,1.0704816468128824,0.05060324026197888,0.0014851289992964271,0.0010647606000070225,2251.5223750266277,482.9239776581201,6009023,1116,0.23081695966907964,3060,0.6328852119958635,575,0.1189245087900724,3719,1.3934730550168473,5.147052740434333,12443,4835,1.811627378598133,0.0006858081834934463,3.1166835933277154e-05,0.004982721208711726,1145.5380581555798,479.19959968652006,3057293.445999998,6380,2.651706308169597
Crenshaw County,01041,1576.952826,2.8264421710713163,0.01785149488859547,1.0715579420587862,0.057132708155725916,0.0019176459982957316,0.0020976593103172758,1980.28403419089,541.2156852686317,3122814,658,0.2804774083546462,1495,0.6372549019607843,173,0.07374254049445865,1688,1.070418830651818,4.919011082693947,5770,2346,1.4876792516049557,0.0013144098856571577,6.421782686873877e-05,0.008318890814558059,1000.4893101348861,539.3929726495722,1577724.444999999,2925,2.5106564364876385
Cullman County,01043,1903.070708,2.8196175166296795,0.02088321174481565,1.0801107418527125,0.03788987435328877,0.0005592497268507337,0.0005337586160184929,3816.1778816050023,334.50584233798406,7262456,2776,0.30776053215077603,5338,0.5917960088691796,863,0.09567627494456762,6244,3.2810131403693488,4.813968957871397,21711,9020,4.739708284133813,0.00043529200110059693,1.668484200786255e-05,0.008889503016903874,1964.5905137855746,333.877001250223,3738754.659999997,11198,2.4763858093126387
Dale County,01045,1453.311031,2.801747976216075,0.026756823208073603,1.0677129630060858,0.06158034243140646,0.0013360695542802116,0.0010646890780807712,2423.342119392476,305.63827423414074,3521869,1196,0.25703846980442724,2959,0.6359338061465721,434,0.09327315710294434,3457,2.3787062275453135,4.952933591231464,11523,4653,3.2016546360336546,0.000844138718296821,3.236183346519251e-05,0.01076108652260696,1265.4461294046266,306.66780373520044,1839086.818999997,5997,2.5705996131528046
Dallas County,01047,2534.863481,2.8269353055017943,0.01850191956778586,1.100794877547097,0.042438484932264285,0.001233945236585295,0.0006696032426869089,2668.168023917364,386.08526572668455,6763441,2229,0.3081282831075477,4266,0.5897152336190213,686,0.0948299695880564,5005,1.974465306520387,4.843240254354438,17518,7234,2.853802602870825,0.0006012150612294683,2.075248511009194e-05,0.00959013586025802,1370.5406788335094,385.8433491781445,3474133.516000013,9004,2.4776057506220623
DeKalb County,01049,2012.676476,2.863203942512252,0.018653409241470614,1.0725289165379754,0.0378359602275195,0.0003608531789469149,0.0006445082096905796,3774.522838910539,400.04704191679724,7596893,2212,0.28813338543701966,4689,0.6107854630715123,726,0.09456819069949199,5465,2.7152898467125524,4.9472450175849945,18990,7677,3.8143239072666537,0.0004545566734799213,1.9597633494423015e-05,0.007477619799894681,1934.9756696813545,403.99170248962747,3894480.012000009,9640,2.514133124918588
Elmore County,01051,1601.762124,2.7819718428595506,0.022606561426639592,1.088521178486812,0.04413673916708796,0.0008353809534737865,0.0005928491296040222,3499.358832385544,302.4084400323727,5605140,2682,0.33915022761760244,4634,0.5859888720283257,566,0.07157309054122407,5226,3.2626567464021266,4.687658067779464,18535,7908,4.937062677104481,0.00044957087674321237,1.901864887268116e-05,0.011977340167251146,1787.906190994443,299.7488400669886,2863800.418000009,9554,2.3976985331310066
Escambia County,01053,2447.822304,2.804351149526691,0.017450196061096712,1.0912111331914822,0.04097136473216929,0.0005047309919216187,0.0008588352033549893,2504.818400821322,444.3651506740139,6131350,1658,0.2924678073734345,3505,0.6182748280119951,469,0.08273064032457224,4011,1.6385993351909585,4.867877932615982,13798,5669,2.3159360835695697,0.0006464735967515285,2.6560564795520306e-05,0.011016089288302652,1291.6806680915047,445.70126148858276,3161804.749000006,7094,2.4965602399012172
Etowah County,01055,1386.383039,2.9128635487385734,0.01885106361058054,1.086822642560231,0.03807727767999329,0.0011539127253779398,0.0006469995128849819,4496.129468300549,304.6011354573871,6233357,1917,0.24101081216997736,4821,0.6061101332662812,1195,0.15023887352275583,6037,4.354496434372492,5.145587125974353,20464,7954,5.737231180884347,0.00047124602875277667,1.89192217074448e-05,0.006059421422986709,2344.391732709285,305.5009808252631,3250224.9349999744,10639,2.6727432738244907
Fayette County,01057,1625.69328,2.8156098947966974,0.01961105331167243,1.0923303080783213,0.0707989764003418,0.00226025381628937,0.0014200488250956428,2450.3453486625576,453.70272972664884,3983509,895,0.2544782485072505,2378,0.6761444412851862,192,0.05459198180267273,2622,1.6128503649839778,4.99289166903611,8780,3517,2.163384719164245,0.0010656225919417701,4.279478474223275e-05,0.00592255125284738,1231.4668016589196,452.9383040723979,2001987.3039999986,4420,2.531703156098948
Franklin County,01059,1641.839976,2.8217327262988734,0.021155502080767802,1.085780349928909,0.04066238171755044,0.001015988175830986,0.0013272093264506475,2348.175284044858,416.79222183783816,3855328,993,0.2659346545259775,2274,0.6089983931440814,449,0.12024638457418318,2741,1.6694684257097172,4.954472415640065,9250,3734,2.2742776729661016,0.0009829371966516664,4.030308539549472e-05,0.008648648648648649,1233.2709232315583,419.9156995022811,2024833.5029999993,4822,2.589180503481521
Geneva County,01061,1487.870866,2.981470043236563,0.02113897660882431,1.0495602597032982,0.056114885731933455,0.0013102856564809772,0.0016747753116327937,2725.0333618670434,461.94573863507,4054497,631,0.1948733786287832,2066,0.6380481778875849,497,0.1534898085237801,2606,1.7514960871611018,5.4212476837554044,8777,3238,2.176264132857885,0.0011352804717646649,4.648352159159578e-05,0.006380312179560214,1368.77655214468,459.20242480270554,2036562.753999999,4435,2.7591105620753553
Greene County,01063,1675.782063,2.736155693853022,0.019483508202639277,1.0884603014607392,0.028987880773010108,0.0006605129426804451,0.0014705257360247749,1963.8497145078995,480.3655124799312,3290984,1179,0.38617753029806745,1704,0.5581395348837209,143,0.04683917458237799,1874,1.1182838397524963,4.488044546347854,6851,3053,1.8218359459788536,0.0012923807048494385,4.93803573642794e-05,0.006130491898992848,1010.1467042615051,487.9751305851819,1692785.727999996,3469,2.2666229937766134
Hale County,01065,1667.907107,2.7696667919328486,0.01738238636495117,1.0945476640275509,0.03808092195916316,0.0009897672535890713,0.0017589068499885693,1885.806062459567,505.2770014457828,3145349,909,0.3416009019165727,1581,0.5941375422773394,161,0.06050357008643367,1752,1.050418211330279,4.678692220969561,6225,2661,1.5954125915238995,0.001365654934842299,5.6459960478027674e-05,0.011887550200803213,952.4575273603632,502.7248984177205,1588610.6789999967,3160,2.373543780533634
Henry County,01067,1454.926615,2.774996964177277,0.018662270869522123,1.0678372603440498,0.040680024286581545,0.001785161749901668,0.0017795408561550833,2292.3559007132553,497.64392882721774,3335209,749,0.27285974499089255,1772,0.6455373406193078,198,0.07213114754098361,1996,1.3718904990957224,4.883060109289618,6702,2745,1.8866930962012816,0.0011480521392373071,5.472954483261882e-05,0.01014622500746046,1180.4775363189042,496.6767455176411,1717508.186000003,3458,2.5202185792349727
Houston County,01069,1501.807104,2.8401981555333915,0.02511055465404628,1.0593544517613749,0.058125623130607686,0.001965833465218017,0.0006467572230336801,3863.785909352069,278.7328814967834,5802661,1539,0.19179960119641076,5070,0.6318544366899302,1345,0.1676221335992024,6485,4.318131125313947,5.188933200398804,20818,8024,5.342896553511043,0.0005693500841687148,1.872349877369638e-05,0.009799212220194062,2038.8128987036685,272.65393544078375,3061903.6950000017,11230,2.788135593220339
Jackson County,01071,2791.974087,2.767491352083034,0.019873293148819315,1.0875412295088664,0.03827141926104207,0.0011065417313566154,0.0007031720702460835,2169.0491029976365,389.67433813782867,6055928,2189,0.32922243946458113,3824,0.5751240788088434,584,0.08783275680553466,4460,1.5974360294985073,4.674687922995939,15541,6649,2.3814690942008014,0.0005584591961394871,2.2672154064213853e-05,0.007464127147545203,1126.1595244168122,390.39088775763395,3144208.2099999837,8054,2.425627913972026
Jefferson County,01073,2877.921069,2.9331717353259683,0.027972054924268963,1.0829148116394867,0.03836888489492105,0.0005898472263410778,0.00011971163149569245,6895.5082221542625,185.4196960925428,19844728,11242,0.2658563117816771,23377,0.552830724116729,7360,0.17405287802109445,31044,10.786953240099441,5.062006337795015,107026,42286,14.693245223258762,9.548047673510533e-05,3.5553866794441806e-06,0.003634630837366621,3690.87151083363,189.45256361139292,10622036.883999966,56067,2.649292910183039
Lamar County,01075,1566.544636,2.815078323269452,0.017116300465459238,1.0928994331127497,0.057766692920276946,0.002401479542359573,0.001307302915915739,2654.7749616755846,438.648188587701,4158823,1025,0.26909950118141246,2559,0.6718298766080336,208,0.05460750853242321,2784,1.7771597029680806,4.978209503806774,9481,3809,2.4314659872864293,0.0008384890437209201,3.943321328110624e-05,0.007594135639700453,1332.3959637240748,436.84758267057344,2087257.75,4778,2.51430821737989
Lauderdale County,01077,1730.742958,2.8678302576676415,0.02151300430273208,1.0802812931495576,0.03573794468103426,0.0008830996798058034,0.000648475767153177,3692.791648498495,328.31320393486317,6391273,2041,0.2633888243644341,4726,0.6098851464705123,931,0.12014453477868112,5708,3.298005618694535,5.024390243902439,19467,7749,4.4772679641317366,0.0004913824552744522,1.9363708537459096e-05,0.012585400934915498,1896.3478215116927,323.9011781308599,3282090.638000003,10133,2.5941411795070333
Lawrence County,01079,1788.859207,2.783561320754724,0.01730638974054505,1.078799642187616,0.03900157232704406,0.0006937047162367684,0.0011199909198948272,2455.2944014894733,436.38112230501724,4392175,1330,0.3136792452830189,2469,0.582311320754717,435,0.10259433962264151,2910,1.6267350659084039,4.747641509433962,10065,4240,2.370225663041798,0.000850937790251532,3.5432091987723213e-05,0.010332836562344759,1294.0014658179869,439.4885961648,2314786.4360000016,5267,2.4766509433962263
Lee County,01081,1573.550101,2.78801947487391,0.035816459573652315,1.0753082263078055,0.0395200834637451,0.000670971176642984,0.0004959796496159398,3699.783978470232,255.5548682235203,5821795,3027,0.3158059467918623,5525,0.5764214919144497,898,0.09368805425143453,6558,4.167646137121629,4.753468961919666,22781,9585,6.091321778638429,0.0004062769971100379,1.5693708586034897e-05,0.0136078310873096,1933.4993109316931,256.6608770035428,3042458.035999996,11854,2.453625456442358
Limestone County,01083,1450.278151,2.8179208106586757,0.020529712824221235,1.0663910022307344,0.04042659660974564,0.0006669426344149068,0.000918046025007885,3422.9983645392053,380.9023048415516,4964299,1418,0.26609119909926815,3165,0.5939200600487896,675,0.1266654156502158,3911,2.696724071381256,4.891349221242259,13033,5329,3.674467547018848,0.0006456185517136439,2.8288994129588377e-05,0.007442645591958874,1804.160207609721,382.1431473638093,2616534.130000002,6847,2.585100394070182
Lowndes County,01085,1854.20138,2.6784711223735456,0.02010635016614195,1.1097529723455442,0.03615246542075799,0.00048751710871666406,0.0014119547644540146,1785.5694369076518,470.68599857833254,3310805,1184,0.3750395945517897,1750,0.5543237250554324,185,0.058599936648717134,1973,1.0640699663377449,4.456129236617041,7034,3157,1.702619809289539,0.0014321234425991186,4.78137308541458e-05,0.014785328404890531,937.1446212600697,476.9845868789455,1737654.8499999985,3643,2.2993348115299335
Macon County,01087,1576.801788,2.7647464578672634,0.020269016917062115,1.0791989086189095,0.03911260253542128,0.0006854957083905625,0.0013008244551868514,2127.4544838352303,403.4364442573672,3354574,1233,0.3447986577181208,2071,0.5791387024608501,240,0.06711409395973154,2343,1.4859191674128163,4.650447427293065,8315,3576,2.267881751032109,0.0009183452115508346,4.215021704999436e-05,0.006494287432351173,1099.7431701288785,408.4987036513554,1734076.9970000037,4245,2.375559284116331
Madison County,01089,2076.145098,2.741621903230042,0.03339384247154671,1.0895104818126127,0.04538051450132936,0.0005345660121954569,0.00014361509518728333,5956.449722089782,158.61748873839417,12366453,10012,0.3038451033352554,19874,0.603137992777154,2854,0.08661345634426876,22939,11.048842406100462,4.732117386422264,77964,32951,15.871241384690542,0.0001290634518472495,4.560533063894968e-06,0.013878200194961778,3168.497713544667,159.43434309258285,6578260.995999969,41260,2.476434706078723
Marengo County,01091,2530.140238,2.8044444444444494,0.017195370378671755,1.1052824116348519,0.03563074352548033,0.00027300331047485407,0.001178302989863726,1709.4941505767952,461.262657246452,4325259,1378,0.34536340852130326,2197,0.5506265664160401,399,0.1,2612,1.0323538437793107,4.700250626566416,9377,3990,1.5769876863244447,0.0009416981204982025,3.763407137928872e-05,0.00810493761330916,871.4909086395076,458.1330178682734,2204994.215,4813,2.4082706766917292
Marion County,01093,1922.656984,2.7922162324049404,0.022297265085169136,1.0881422667972989,0.06218628331835846,0.0014893902428455292,0.0008943387183556577,2744.2875593039244,381.0720527228084,5276323,1412,0.2537286612758311,3667,0.6589398023360288,362,0.06504941599281222,4153,2.160031682489652,4.976100628930817,13846,5565,2.8944320522646074,0.0005731871890147453,2.7093163111193348e-05,0.011122345803842264,1416.1045405694742,385.10371782178373,2722683.285000011,7070,2.5369272237196765
Marshall County,01095,1465.528724,2.84079624388988,0.020448632050647342,1.0948793453979755,0.0412528942629276,0.0012528132355043755,0.0006435501621435456,4169.670626667306,314.27546147912045,6110772,2030,0.26112683303318757,4876,0.6272189349112426,851,0.10946745562130178,5744,3.919404584798844,5.002315410342166,19444,7774,5.304570202337433,0.000537958802434822,1.9311978576578435e-05,0.012857436741411233,2171.0387561124394,314.2439168395072,3181719.6580000105,10125,2.5888860303576022
Mobile County,01097,3184.127436,2.7529421281688786,0.029301048252272636,1.1013687802923744,0.04214030319209019,0.0004393295855368721,0.00011675292444625193,5414.333262256935,173.9351179716869,17239927,11912,0.2890841139639858,25053,0.6079939814590108,3767,0.09141872542833568,29294,9.200008664477334,4.810804251807989,99117,41206,12.941064963079574,9.221404343832588e-05,3.64331927184989e-06,0.019653540764954548,2859.510937614348,173.22490068870917,9105047.229999932,52562,2.508615250206281
Monroe County,01099,2656.517454,2.778140096618369,0.017111498518880688,1.1098083767793472,0.04571047809428632,0.0011168785461514543,0.0012013488382027512,1815.0220717503396,501.31397515076077,4821637,1215,0.30359820089955025,2538,0.6341829085457271,221,0.055222388805597204,2787,1.0491178952366862,4.806596701649175,9618,4002,1.50648360844536,0.0008399615946425105,3.758503614427643e-05,0.00727802037845706,910.8619765913969,496.8625747433234,2419720.738999985,4870,2.445527236381809
Montgomery County,01101,2033.764493,2.857728762152331,0.025675752136299704,1.0749789025087506,0.036715682292089394,0.0009260532048302333,0.0004056919862242052,3504.771037911927,231.9442547590392,7127878,3099,0.2517669997562759,7232,0.5875375741327484,1906,0.15484604760744172,9210,4.528547937433187,4.993256966447315,30731,12309,6.052323188041813,0.0003561078906771921,1.2203834301632505e-05,0.006963652338030002,1897.8224161572157,235.03372573377266,3859723.8440000145,16422,2.6561052888130634
Morgan County,01103,1500.60227,2.864670760832502,0.021839628084029384,1.0861670664332768,0.050450845640200574,0.0010190589361101297,0.0007593272262411602,3751.620812888692,317.07635640664694,5629690,1467,0.21450504459716332,4271,0.6245065067992397,1043,0.15250767656090072,5372,3.579895957374501,5.192279573036994,17755,6839,4.557503434937493,0.000557331491989397,2.2061907098574376e-05,0.014869050971557309,1975.047094924094,315.22656392256977,2963760.154000001,9402,2.726421991519228
Perry County,01105,1863.885725,2.7298194713088186,0.021811965850883085,1.092314200758928,0.03494519664732425,0.0008556848574678837,0.0017902162391984424,1753.0161625117853,546.4829906338847,3267421,871,0.3369439071566731,1509,0.583752417794971,136,0.05261121856866538,1714,0.919584273333066,4.625918762088975,5979,2585,1.3868876000968353,0.0017024122874257366,5.837257267385298e-05,0.009031610637230306,881.070684201951,542.8810152066114,1642215.0709999998,3025,2.3520309477756287
Pickens County,01107,2282.893859,2.7794734758511517,0.017053209449868288,1.0980828605994213,0.04291369754552657,0.001056278185297436,0.0011198715116177494,2123.968418805049,488.69123765369744,4848794,1387,0.3294536817102138,2518,0.5980997624703088,267,0.06342042755344418,2823,1.2365883717592498,4.7135391923990495,9922,4210,1.8441505650394763,0.0008574709212840715,3.570153516601215e-05,0.006248740173352147,1080.1954984802442,489.76597219463616,2465971.669999993,5035,2.3954869358669835
Pike County,01109,1740.647521,2.78580022383883,0.016636875010211164,1.0773298402610139,0.03673754896474526,0.001981224845197488,0.0013359538702802497,2234.2995110036477,455.93527608440934,3889127,1092,0.3055400111919418,2198,0.6149972020145495,278,0.07778399552322328,2482,1.4259061470263052,4.773363178511472,8530,3574,2.053258891809837,0.00085613878886823,4.206983592763989e-05,0.007502930832356389,1140.8780778655969,451.1282594275321,1985866.5979999963,4402,2.4667039731393396
Randolph County,01111,1503.615934,2.788137302355608,0.017254583194618655,1.0858586436567648,0.05290416263310782,0.003307708506197607,0.0011842318943280441,2865.031101087014,426.229980706441,4307906,1195,0.28920619554695065,2692,0.6515004840271055,243,0.05880929332042594,2937,1.9532913515932455,4.892061955469506,10107,4132,2.7480421739132757,0.0007982097786972662,3.637686431429611e-05,0.007618482240031661,1441.8051484947835,423.67035274574795,2167921.1949999924,5117,2.480638915779284
Russell County,01113,1660.557977,2.8241659913560433,0.024654057923060257,1.074432555034433,0.04276742301458691,0.0006275771685355009,0.0009915777062920233,2261.859252144625,311.00011791007796,3755948,1364,0.27633711507293357,2969,0.6014991896272285,532,0.10777957860615883,3572,2.1510841834340844,4.893435980551054,12077,4936,2.9724948290679287,0.0007379697791014052,3.0512625538286072e-05,0.007452181833236731,1185.4804049398133,312.4200830026975,1968558.942999997,6301,2.5504457050243112
St. Clair County,01115,1636.634176,2.740578407528778,0.02691392864788042,1.096820046095028,0.031056360367981435,0.0002649453368464994,0.00047825342493322694,3455.931583210463,264.50129718481253,5656095,3564,0.3768636988474146,5273,0.5575763984350217,501,0.052976631066934544,5893,3.600682477743884,4.5223643861689755,21384,9457,5.7783224490113545,0.000421929863915923,1.593445585004548e-05,0.012626262626262626,1791.3116376227977,268.6449047924492,2931721.845999998,10913,2.2914243417574283
Shelby County,01117,2034.10782,2.7162120315581784,0.025088170123514955,1.1178283126821578,0.03521696252465477,0.0006416237616384404,0.0002650834351389654,4666.831863416099,250.7816867355258,9492839,6154,0.36414201183431955,9694,0.5736094674556212,982,0.05810650887573964,10746,5.282905799949189,4.479644970414201,37853,16900,8.308310815107136,0.00023519827566634462,8.897368726113783e-06,0.008770771140992789,2418.0469283088396,248.6260004043871,4918568.16599999,19783,2.330473372781065
